ลำดับ,Sub industry,Customer ID,Name,Class,Lat,Long,Google Maps
34,PACKAGING,1002086,บ. ไทยกริ๊พเทค จก.                                                              ,Platinum,13.659823,100.42641,"<a href=""https://www.google.com/maps?q=13.659823,100.42641""     target=""_blank"">🌐</a>"
35,CANNED FOOD,1001924,บ. ไทยนิสชิน เซฟุง จก.                                                          ,Platinum,13.539027,100.656381,"<a href=""https://www.google.com/maps?q=13.539027,100.656381""     target=""_blank"">🌐</a>"
36,PROCESSED FOOD,1001938,บ.คาลบี้ธนาวัธน์ จก.                                                            ,Platinum,13.535825,100.658433,"<a href=""https://www.google.com/maps?q=13.535825,100.658433""     target=""_blank"">🌐</a>"
37,PROCESSED FOOD,1032060,บ.เพอร์เฟค คอมพาเนียน กรุ๊ป จก.                                                 ,Platinum,13.566459,100.782568,"<a href=""https://www.google.com/maps?q=13.566459,100.782568""     target=""_blank"">🌐</a>"
38,PROCESSED FOOD,1002137,บ.เพอร์เฟค คอมพาเนียน กรุ๊ป จำกัด                                               ,Platinum,13.566454,100.782577,"<a href=""https://www.google.com/maps?q=13.566454,100.782577""     target=""_blank"">🌐</a>"
39,DAIRY PRODUCT,1019075,บ.แมรี่ แอน แดรี่ โปรดักส์ จก.                                                  ,Platinum,14.762591,101.452203,"<a href=""https://www.google.com/maps?q=14.762591,101.452203""     target=""_blank"">🌐</a>"
40,PETROLEUM&CHEMICALS,1001912,บริษัท พี.เอส.พี.สเปเชียลตี้ส์          จำกัด(มหาชน)                            ,Platinum,13.773825,100.48068,"<a href=""https://www.google.com/maps?q=13.773825,100.48068""     target=""_blank"">🌐</a>"
41,FROZEN FOOD,1001928,บริษัท สุรพลนิชิเรฟู้ดส์ จำกัด                                                  ,Platinum,13.607844,100.685956,"<a href=""https://www.google.com/maps?q=13.607844,100.685956""     target=""_blank"">🌐</a>"
42,CONSUMER PROD,1009755,บริษัท สแตนดาร์ด แมนูแฟคเจอริ่ง จก                                              ,Platinum,13.557642,100.65644,"<a href=""https://www.google.com/maps?q=13.557642,100.65644""     target=""_blank"">🌐</a>"
43,BEVERAGE,1007132,บริษัท เฮลซ์ เทรดดิ้ง (ประเทศไทย)       จำกัด                                   ,Platinum,13.832914,100.6246065,"<a href=""https://www.google.com/maps?q=13.832914,100.6246065""     target=""_blank"">🌐</a>"
44,CONSUMER PROD,1007022,บริษัท ไซเบอร์แพค จำกัด                                                         ,Platinum,13.588346,100.943686,"<a href=""https://www.google.com/maps?q=13.588346,100.943686""     target=""_blank"">🌐</a>"
45,CAN VEGET & FRUIT,1001925,บริษัท ไทย อกริ ฟู้ดส์ จำกัด(มหาชน)                                             ,Platinum,13.591114,100.777328,"<a href=""https://www.google.com/maps?q=13.591114,100.777328""     target=""_blank"">🌐</a>"
46,CONSUMER PROD,1018385,บริษัท ไทย ฮาโซ จำกัด                                                           ,Platinum,13.566213,100.771692,"<a href=""https://www.google.com/maps?q=13.566213,100.771692""     target=""_blank"">🌐</a>"
47,FROZEN FOOD,1031737,บริษัท ไทยเดลมาร์ จำกัด                                                         ,Platinum,13.5544386,100.5948489,"<a href=""https://www.google.com/maps?q=13.5544386,100.5948489""     target=""_blank"">🌐</a>"
48,PROCESSED FOOD,1001936,บริษัท ไทยเทพรส จำกัด (มหาชน)                                                   ,Platinum,13.567206,100.591773,"<a href=""https://www.google.com/maps?q=13.567206,100.591773""     target=""_blank"">🌐</a>"
49,CAN VEGET & FRUIT,1018344,บริษัท ไทยแทน ฟู้ดส์                    อินเตอร์เนชั่นแนล จำกัด                 ,Platinum,13.689787,100.522099,"<a href=""https://www.google.com/maps?q=13.689787,100.522099""     target=""_blank"">🌐</a>"
50,PETROLEUM&CHEMICALS,1001948,บริษัท ไบเออร์ไทย จำกัด                                                         ,Platinum,13.5395146,100.6493008,"<a href=""https://www.google.com/maps?q=13.5395146,100.6493008""     target=""_blank"">🌐</a>"
51,PROCESSED FOOD,1006100,บริษัท ไพโรจน์ (ทั่งซังฮะ) จำกัด                                                ,Platinum,13.5164733,100.676502,"<a href=""https://www.google.com/maps?q=13.5164733,100.676502""     target=""_blank"">🌐</a>"
52,CONSUMER PROD,1002039,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด                                              ,Platinum,13.592482,100.724406,"<a href=""https://www.google.com/maps?q=13.592482,100.724406""     target=""_blank"">🌐</a>"
53,DAIRY PRODUCT,1008856,สหกรณ์โคนมวังน้ำเย็น จำกัด                                                      ,Platinum,13.435709,102.20139,"<a href=""https://www.google.com/maps?q=13.435709,102.20139""     target=""_blank"">🌐</a>"
54,COMP & ELECTRONIC,1002014,บ.ชไนเดอร์ (ไทยแลนด์)จก.                                                        ,Gold,13.547363,100.664361,"<a href=""https://www.google.com/maps?q=13.547363,100.664361""     target=""_blank"">🌐</a>"
55,CONSUMER PROD,1002028,บ.รูเบียอุตสาหกรรม จก.                                                          ,Gold,13.650703,100.542384,"<a href=""https://www.google.com/maps?q=13.650703,100.542384""     target=""_blank"">🌐</a>"
56,CONSUMER PROD,1002048,บ.อินเตอร์เนชั่นแนล แลบบอราทอรีส์       จก.                                     ,Gold,13.638969,100.773806,"<a href=""https://www.google.com/maps?q=13.638969,100.773806""     target=""_blank"">🌐</a>"
57,AUTOMOTIVE PARTS,1027883,บจก.เอ็นจีเค เซรามิคส์ (ประเทศไทย)                                              ,Gold,13.665367,100.902095,"<a href=""https://www.google.com/maps?q=13.665367,100.902095""     target=""_blank"">🌐</a>"
58,ELEC APPLIANCE,1002004,บริษัท กันยงอีเลคทริก จำกัด(มหาชน)                                              ,Gold,13.602305,100.777741,"<a href=""https://www.google.com/maps?q=13.602305,100.777741""     target=""_blank"">🌐</a>"
59,DAIRY PRODUCT,1002721,บริษัท ดานอน สเปเชียลไลซ์ นิวทริชั่น    (ประเทศไทย) จำกัด                       ,Gold,13.559858,100.790332,"<a href=""https://www.google.com/maps?q=13.559858,100.790332""     target=""_blank"">🌐</a>"
60,CONSTRUCT MAT,1001712,บริษัท ทีโอเอ เพอฟอร์มมานซ์             โค๊ทติ้ง คอร์ปอเรชั่น จำกัด             ,Gold,13.596524,100.801875,"<a href=""https://www.google.com/maps?q=13.596524,100.801875""     target=""_blank"">🌐</a>"
61,PROCESSED FOOD,1020485,บริษัท นูทริกซ์ จำกัด (มหาชน)                                                   ,Gold,13.804975,100.704575,"<a href=""https://www.google.com/maps?q=13.804975,100.704575""     target=""_blank"">🌐</a>"
62,PROCESSED FOOD,1008524,บริษัท น้ำมันบริโภคไทย จำกัด                                                    ,Gold,13.6850544,100.4913508,"<a href=""https://www.google.com/maps?q=13.6850544,100.4913508""     target=""_blank"">🌐</a>"
63,MEDICAL&HEALTHCARE,1002031,บริษัท มอลลิเก้ เฮลท์ แคร์              (ประเทศไทย) จำกัด                       ,Gold,13.576199,100.798293,"<a href=""https://www.google.com/maps?q=13.576199,100.798293""     target=""_blank"">🌐</a>"
64,ELEC APPLIANCE,1001965,บริษัท มิตซูบิชิ อีเล็คทริค             ออโตเมชั่น (ประเทศไทย) จำกัด            ,Gold,13.796091,100.700887,"<a href=""https://www.google.com/maps?q=13.796091,100.700887""     target=""_blank"">🌐</a>"
65,PROCESSED FOOD,1001900,บริษัท วินแชนซ์ ฟู้ดส์ จำกัด                                                    ,Gold,13.572747,100.795115,"<a href=""https://www.google.com/maps?q=13.572747,100.795115""     target=""_blank"">🌐</a>"
66,AUTOMOTIVE PARTS,1033754,บริษัท สหไทยเปลือกหม้อพลาสติก จำกัด                                             ,Gold,13.654625,100.689229,"<a href=""https://www.google.com/maps?q=13.654625,100.689229""     target=""_blank"">🌐</a>"
67,PROCESSED FOOD,1001899,บริษัท สิงห์ คาเมดะ (ประเทศไทย)         จำกัด                                   ,Gold,13.615861,100.769111,"<a href=""https://www.google.com/maps?q=13.615861,100.769111""     target=""_blank"">🌐</a>"
68,PACKAGING,1013471,บริษัท อุตสาหกรรมทำเครื่องแก้วไทย       จำกัด (มหาชน) (บางพลี)                  ,Gold,13.6633096,100.7918288,"<a href=""https://www.google.com/maps?q=13.6633096,100.7918288""     target=""_blank"">🌐</a>"
69,DAIRY PRODUCT,1004769,บริษัท เอบิโก้ แดรี่ ฟาร์ม จำกัด                                                ,Gold,13.9540538,100.6268166,"<a href=""https://www.google.com/maps?q=13.9540538,100.6268166""     target=""_blank"">🌐</a>"
70,PETROLEUM&CHEMICALS,1025758,บริษัท แน็ป นิวตริซายส์                 (ประเทศไทย) จำกัด                       ,Gold,13.546068,100.664392,"<a href=""https://www.google.com/maps?q=13.546068,100.664392""     target=""_blank"">🌐</a>"
71,PACKAGING,1021278,บริษัท ไทย มาลายา กลาส จำกัด                                                    ,Gold,14.381865,100.83556,"<a href=""https://www.google.com/maps?q=14.381865,100.83556""     target=""_blank"">🌐</a>"
72,PACKAGING,1010823,บริษัท ไทย มาลายา กลาส จำกัด                                                    ,Gold,14.381876,100.8354716,"<a href=""https://www.google.com/maps?q=14.381876,100.8354716""     target=""_blank"">🌐</a>"
73,PROCESSED FOOD,1009375,บริษัท ไร่ธัญญะ จำกัด                                                           ,Gold,13.842689,100.375366,"<a href=""https://www.google.com/maps?q=13.842689,100.375366""     target=""_blank"">🌐</a>"
74,PROCESSED FOOD,1011533,บริษัท ไฮ คิว ผลิตภัณฑ์อาหาร            จำกัด                                   ,Gold,13.74736,100.953962,"<a href=""https://www.google.com/maps?q=13.74736,100.953962""     target=""_blank"">🌐</a>"
75,CANNED FOOD,1010440,บริษัท ไฮ คิว ผลิตภัณฑ์อาหาร จำกัด                                              ,Gold,13.577221,100.92551,"<a href=""https://www.google.com/maps?q=13.577221,100.92551""     target=""_blank"">🌐</a>"
76,AUTOMOTIVE PARTS,1002644,บริษัทสหไทยอุตสาหกรรมแผ่นกั้น จำกัด                                             ,Gold,13.55334,100.661009,"<a href=""https://www.google.com/maps?q=13.55334,100.661009""     target=""_blank"">🌐</a>"
77,MEDICAL&HEALTHCARE,1001955,องค์การเภสัชกรรม                                                                ,Gold,13.7668463,100.5261858,"<a href=""https://www.google.com/maps?q=13.7668463,100.5261858""     target=""_blank"">🌐</a>"
78,BEVERAGE,1015973,บริษัท บีแอนด์บี สตรอว์แพค จำกัด                                                ,Silver,13.581656,100.800954,"<a href=""https://www.google.com/maps?q=13.581656,100.800954""     target=""_blank"">🌐</a>"
79,CONSUMER PROD,1002040,บ. กรีนสวิลล์ จก.                                                               ,Bronze,13.784416,100.955519,"<a href=""https://www.google.com/maps?q=13.784416,100.955519""     target=""_blank"">🌐</a>"
80,PETROLEUM&CHEMICALS,1001589,บริษัท เชลล์แห่งประเทศไทย จำกัด                                                 ,Bronze,13.7124241,100.5568705,"<a href=""https://www.google.com/maps?q=13.7124241,100.5568705""     target=""_blank"">🌐</a>"
81,CONSUMER PROD,1002036,บริษัท ไอ.พี.วัน จำกัด                                                          ,Bronze,13.545084,100.656221,"<a href=""https://www.google.com/maps?q=13.545084,100.656221""     target=""_blank"">🌐</a>"
82,COMP & ELECTRONIC,1028281,DHL Supply Chain                        (Thailand) Ltd (Head office)            ,Zinc,13.579408,100.799153,"<a href=""https://www.google.com/maps?q=13.579408,100.799153""     target=""_blank"">🌐</a>"
83,CONSUMER PROD,1002052,บ. บางพลี คอตตอน อินดัสตรี จก.                                                  ,Zinc,13.712134,100.740192,"<a href=""https://www.google.com/maps?q=13.712134,100.740192""     target=""_blank"">🌐</a>"
84,PETROLEUM&CHEMICALS,1005745,บ. อิคาริ เทรดดิ้ง (ประเทศไทย) จก.                                              ,Zinc,13.677424,100.542469,"<a href=""https://www.google.com/maps?q=13.677424,100.542469""     target=""_blank"">🌐</a>"
85,MEDICAL&HEALTHCARE,1016395,บ. เบอร์แทรม (1958) จก.                                                         ,Zinc,13.785649,100.602548,"<a href=""https://www.google.com/maps?q=13.785649,100.602548""     target=""_blank"">🌐</a>"
86,BEVERAGE,1030471,บ. เอสเปรสโซ่ เพอร์เฟกต์ จก.                                                    ,Zinc,13.565615,100.769089,"<a href=""https://www.google.com/maps?q=13.565615,100.769089""     target=""_blank"">🌐</a>"
87,CONSUMER PROD,1027326,บ.คอนเน็ต อินเตอร์เนชั่นแนล จก.                                                 ,Zinc,13.739675,100.571054,"<a href=""https://www.google.com/maps?q=13.739675,100.571054""     target=""_blank"">🌐</a>"
88,PROCESSED FOOD,1004186,บ.ง่วนเชียงอุตสาหกรรมอาหาร จก.                                                  ,Zinc,13.643821,100.521321,"<a href=""https://www.google.com/maps?q=13.643821,100.521321""     target=""_blank"">🌐</a>"
89,PETROLEUM&CHEMICALS,1002117,บ.ซันสตาร์ เคมีคัล(ประเทศไทย) จก.                                               ,Zinc,13.516856,100.709607,"<a href=""https://www.google.com/maps?q=13.516856,100.709607""     target=""_blank"">🌐</a>"
90,PETROLEUM&CHEMICALS,1001908,บ.บีพี-คาสตรอล(ประเทศไทย) จก.                                                   ,Zinc,13.7011005,100.540849,"<a href=""https://www.google.com/maps?q=13.7011005,100.540849""     target=""_blank"">🌐</a>"
91,DAIRY PRODUCT,1017344,บ.ฟอนเทียร่า แบรนด์ส (ประเทศไทย)จก.                                             ,Zinc,13.714777,100.586405,"<a href=""https://www.google.com/maps?q=13.714777,100.586405""     target=""_blank"">🌐</a>"
92,MEDICAL&HEALTHCARE,1005263,บ.ยูนีซัน จำกัด                                                                 ,Zinc,13.7401365,100.9415024,"<a href=""https://www.google.com/maps?q=13.7401365,100.9415024""     target=""_blank"">🌐</a>"
93,BEVERAGE,1015904,บ.เค.วี.เอ็น.อิมปอร์ตเอกซ์ปอร์ต         (1991) จก.                              ,Zinc,13.8011481,100.5885709,"<a href=""https://www.google.com/maps?q=13.8011481,100.5885709""     target=""_blank"">🌐</a>"
94,PETROLEUM&CHEMICALS,1028768,บ.เชียงไทย เทรดดิ้ง จก.                                                         ,Zinc,13.695144,100.679308,"<a href=""https://www.google.com/maps?q=13.695144,100.679308""     target=""_blank"">🌐</a>"
95,PACKAGING,1002145,บ.เหรียญไทย อินเตอร์พลาส จก.                                                    ,Zinc,13.599226,100.72207,"<a href=""https://www.google.com/maps?q=13.599226,100.72207""     target=""_blank"">🌐</a>"
96,CONSUMER PROD,1006989,บ.เอส.ซี.ยอห์นสัน แอนด์ ซัน             จำกัด                                   ,Zinc,13.7316295,100.5696444,"<a href=""https://www.google.com/maps?q=13.7316295,100.5696444""     target=""_blank"">🌐</a>"
97,PROCESSED FOOD,1016394,บ.เอ็กซ์เตอร์ (ประเทศไทย) จก.                                                   ,Zinc,13.567637,100.591287,"<a href=""https://www.google.com/maps?q=13.567637,100.591287""     target=""_blank"">🌐</a>"
98,DAIRY PRODUCT,1022267,บ.แปซิฟิค เฮลธ์แคร์ (ไทยแลนด์)จก.                                               ,Zinc,13.71936,100.532035,"<a href=""https://www.google.com/maps?q=13.71936,100.532035""     target=""_blank"">🌐</a>"
99,COMP & ELECTRONIC,1031856,บ.แอดวานซ์ ไวร์เลส เน็ทเวอร์ค จก.                                               ,Zinc,13.78339983,100.5465076,"<a href=""https://www.google.com/maps?q=13.78339983,100.5465076""     target=""_blank"">🌐</a>"
100,DAIRY PRODUCT,1020209,บ.แอลเอฟ โลจิสติกส์ (ประเทศไทย) จก.                                             ,Zinc,14.211314,100.583238,"<a href=""https://www.google.com/maps?q=14.211314,100.583238""     target=""_blank"">🌐</a>"
101,AUTOMOTIVE PARTS,1005718,บ.โกเบลโก้ มิก ไวร์ (ประเทศไทย) จก.                                             ,Zinc,13.532239,100.653798,"<a href=""https://www.google.com/maps?q=13.532239,100.653798""     target=""_blank"">🌐</a>"
102,CONSUMER PROD,1002120,บ.โคคูโย-ไอเค(ประเทศไทย)จก.                                                     ,Zinc,13.548883,100.658154,"<a href=""https://www.google.com/maps?q=13.548883,100.658154""     target=""_blank"">🌐</a>"
103,SHOES,1030444,บ.โอเรียนตัล สปอร์ต อินดัสเตรียล        จก.                                     ,Zinc,13.565809,100.687149,"<a href=""https://www.google.com/maps?q=13.565809,100.687149""     target=""_blank"">🌐</a>"
104,PACKAGING,1010665,บจก. เอ็มซีซี ลาเบลส์ กรุงเทพ                                                   ,Zinc,13.440041,101.015923,"<a href=""https://www.google.com/maps?q=13.440041,101.015923""     target=""_blank"">🌐</a>"
105,CONSUMER PROD,1002037,บริษัท  มายกี้ จำกัด                                                            ,Zinc,13.688797,100.626779,"<a href=""https://www.google.com/maps?q=13.688797,100.626779""     target=""_blank"">🌐</a>"
106,CONSUMER PROD,1017613,บริษัท 1577 โฮมชอปปิ้ง จำกัด                                                    ,Zinc,13.763199,100.651557,"<a href=""https://www.google.com/maps?q=13.763199,100.651557""     target=""_blank"">🌐</a>"
107,CONSUMER PROD,1004593,บริษัท คอสโมอินดัสตรีส์ จำกัด                                                   ,Zinc,13.697446,100.606634,"<a href=""https://www.google.com/maps?q=13.697446,100.606634""     target=""_blank"">🌐</a>"
108,PACKAGING,1014245,บริษัท ซุปเปอร์กริ๊พ จำกัด                                                      ,Zinc,13.334153,99.830392,"<a href=""https://www.google.com/maps?q=13.334153,99.830392""     target=""_blank"">🌐</a>"
109,PETROLEUM&CHEMICALS,1014429,บริษัท ทรี บอนด์ วีไอวี เซลส์           (ประเทศไทย) จำกัด                       ,Zinc,13.7166147,100.584037,"<a href=""https://www.google.com/maps?q=13.7166147,100.584037""     target=""_blank"">🌐</a>"
110,COMP & ELECTRONIC,1032683,บริษัท ทรู เลเซอร์ ออฟฟิศ จำกัด                                                 ,Zinc,13.56049613,100.6138365,"<a href=""https://www.google.com/maps?q=13.56049613,100.6138365""     target=""_blank"">🌐</a>"
111,MEDICAL&HEALTHCARE,1037038,บริษัท ที.แมน ฟาร์มา จำกัด                                                      ,Zinc,13.66184456,100.4258606,"<a href=""https://www.google.com/maps?q=13.66184456,100.4258606""     target=""_blank"">🌐</a>"
112,PROCESSED FOOD,1034655,บริษัท ธนเสริมอุตสาหกรรมฝาขวด จำกัด                                             ,Zinc,13.713695,100.738914,"<a href=""https://www.google.com/maps?q=13.713695,100.738914""     target=""_blank"">🌐</a>"
113,CONSTRUCT MAT,1031774,บริษัท นิซูกิ เมดิคอล จำกัด                                                     ,Zinc,13.55382,100.827527,"<a href=""https://www.google.com/maps?q=13.55382,100.827527""     target=""_blank"">🌐</a>"
114,CONSTRUCT MAT,1009220,บริษัท นิซูกิ(ประเทศไทย) จำกัด                                                  ,Zinc,13.6325545,100.6276755,"<a href=""https://www.google.com/maps?q=13.6325545,100.6276755""     target=""_blank"">🌐</a>"
115,CONSUMER PROD,1034300,บริษัท บู๊ทส์ รีเทล(ประเทศไทย)จำกัด                                             ,Zinc,13.70191869,100.6095926,"<a href=""https://www.google.com/maps?q=13.70191869,100.6095926""     target=""_blank"">🌐</a>"
116,CONSUMER PROD,1033500,บริษัท มิลลิเมด จำกัด                                                           ,Zinc,13.610304,100.548413,"<a href=""https://www.google.com/maps?q=13.610304,100.548413""     target=""_blank"">🌐</a>"
117,CONSUMER PROD,1017058,บริษัท ยูเนี่ยนโชจิรุชิ จำกัด                                                   ,Zinc,13.569755,100.937792,"<a href=""https://www.google.com/maps?q=13.569755,100.937792""     target=""_blank"">🌐</a>"
118,COMP & ELECTRONIC,1021125,บริษัท ยูเอ็มซี อิเล็คทรอนิกส์          (ประเทศไทย) จำกัด                       ,Zinc,13.565794,100.989462,"<a href=""https://www.google.com/maps?q=13.565794,100.989462""     target=""_blank"">🌐</a>"
119,ELEC APPLIANCE,1016691,บริษัท รินไน(ประเทศไทย) จำกัด                                                   ,Zinc,13.583055,100.728281,"<a href=""https://www.google.com/maps?q=13.583055,100.728281""     target=""_blank"">🌐</a>"
120,CONSTRUCT MAT,1001513,บริษัท ลวดเชื่อมไทยฮันซ่า จำกัด                                                 ,Zinc,13.517396,100.670341,"<a href=""https://www.google.com/maps?q=13.517396,100.670341""     target=""_blank"">🌐</a>"
